Date,Content,Video title,Video publish time,Duration,Views
2025-09-24,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,59
2025-09-25,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,47
2025-09-26,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,58
2025-09-27,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,110
2025-09-28,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,63
2025-09-29,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,54
2025-09-30,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,64
2025-10-01,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,63
2025-10-02,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,36
2025-10-03,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,63
2025-10-04,OkxaADtAjEM,Orphic's 1st Text Pack | Alight Link + XML,"Oct 15, 2023",25,67
2025-09-07,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,82
2025-09-08,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,65
2025-09-09,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,61
2025-09-10,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,64
2025-09-11,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,53
2025-09-12,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,58
2025-09-13,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,100
2025-09-14,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,71
2025-09-15,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,45
2025-09-16,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,63
2025-09-17,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,60
2025-09-18,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,49
2025-09-19,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,67
2025-09-20,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,93
2025-09-21,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,72
2025-09-22,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,73
2025-09-23,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,49
2025-09-24,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,50
2025-09-25,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,62
2025-09-26,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,73
2025-09-27,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,85
2025-09-28,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,86
2025-09-29,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,61
2025-09-30,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,69
2025-10-01,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,65
2025-10-02,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,76
2025-10-03,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,96
2025-10-04,Z25p1DXcPxo,WIS Editing COMPLETE Tutorial | Capcut + Alight Motion,"Oct 10, 2024",2151,78
2025-09-07,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,406
2025-09-08,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,449
2025-09-09,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,472
2025-09-10,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,328
2025-09-11,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,346
2025-09-12,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,424
2025-09-13,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,396
2025-09-14,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,486
2025-09-15,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,384
2025-09-16,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,325
2025-09-17,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,311
2025-09-18,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,338
2025-09-19,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,548
2025-09-20,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,619
2025-09-21,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,359
2025-09-22,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,335
2025-09-23,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,344
2025-09-24,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,327
2025-09-25,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,258
2025-09-26,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,478
2025-09-27,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,415
2025-09-28,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,416
2025-09-29,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,405
2025-09-30,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,358
2025-10-01,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,305
2025-10-02,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,409
2025-10-03,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,357
2025-10-04,rr7QOwXylkA,Orphic's @Conquestor_ Pack | Texts + Transitions + Effects + Nulls + Shakes | Alight Link + QR + XML,"Jan 1, 2024",25,460
2025-09-07,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,185
2025-09-08,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,130
2025-09-09,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,119
2025-09-10,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,117
2025-09-11,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,129
2025-09-12,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,161
2025-09-13,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,180
2025-09-14,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,170
2025-09-15,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,127
2025-09-16,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,87
2025-09-17,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,130
2025-09-18,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,145
2025-09-19,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,166
2025-09-20,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,182
2025-09-21,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,171
2025-09-22,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,153
2025-09-23,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,127
2025-09-24,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,143
2025-09-25,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,125
2025-09-26,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,148
2025-09-27,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,208
2025-09-28,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,180
2025-09-29,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,131
2025-09-30,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,145
2025-10-01,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,128
2025-10-02,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,204
2025-10-03,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,241
2025-10-04,sg9baG9pH98,Orphic's 4th Text Pack | Alight Motion #text #alightlink #xml,"Jul 21, 2024",19,268
2025-09-07,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1573
2025-09-08,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1041
2025-09-09,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,690
2025-09-10,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,842
2025-09-11,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,951
2025-09-12,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1495
2025-09-13,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1732
2025-09-14,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,745
2025-09-15,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,906
2025-09-16,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1180
2025-09-17,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1667
2025-09-18,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,2240
2025-09-19,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1047
2025-09-20,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1630
2025-09-21,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1306
2025-09-22,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1265
2025-09-23,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,773
2025-09-24,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,787
2025-09-25,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,520
2025-09-26,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1910
2025-09-27,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,1387
2025-09-28,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,966
2025-09-29,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,685
2025-09-30,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,536
2025-10-01,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,604
2025-10-02,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,569
2025-10-03,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,706
2025-10-04,ywkFwERr7z0,Gojo Vs Kashimo (JJK) | So Tired Rock,"Jan 7, 2024",19,587
